2022-02-28 04:20:53,709 - INFO - Start Flask application
2022-02-28 04:20:53,717 - WARNING -  * Debugger is active!
2022-02-28 04:20:53,725 - INFO -  * Debugger PIN: 128-215-219
2022-02-28 04:20:54,890 - WARNING -  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
2022-02-28 04:20:54,891 - INFO -  * Running on http://192.168.0.18:80/ (Press CTRL+C to quit)
2022-02-28 04:22:10,791 - INFO - 127.0.0.1 - - [28/Feb/2022 04:22:10] "GET /statistic HTTP/1.1" 200 -
2022-02-28 04:22:11,424 - INFO - 127.0.0.1 - - [28/Feb/2022 04:22:11] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2022-02-28 04:22:11,714 - INFO - 127.0.0.1 - - [28/Feb/2022 04:22:11] "[36mGET /static/js/translateController.js HTTP/1.1[0m" 304 -
2022-02-28 04:22:11,789 - INFO - 127.0.0.1 - - [28/Feb/2022 04:22:11] "[36mGET /static/js/dataStat.js HTTP/1.1[0m" 304 -
2022-02-28 04:22:12,210 - INFO - 127.0.0.1 - - [28/Feb/2022 04:22:12] "[36mGET /static/img/image1.png HTTP/1.1[0m" 304 -
2022-02-28 04:22:12,212 - INFO - 127.0.0.1 - - [28/Feb/2022 04:22:12] "[36mGET /static/img/image2.png HTTP/1.1[0m" 304 -
